Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
fhi`Q@MHpPH@bDaddeTTRbvRcN}KPDQTd@@ !BbGw}mpJHm?s~@K_|bOs~@D]s?`AGCHc|w|[_vVvp\s`,776,Z3919182585,1907006-Y10-03,H11,10,10,C10H10FNO4S,O=C1Nc2cccc(OS(F)(=O)=O)c2CCC1,259.2541,100,27521095,0,Achiral,None,"2-oxo-2,3,4,5-tetrahydro-1H-1-benzazepin-6-yl sulfurofluoridate","0,129","-2,512",1,3,"72,47",2,8.687258687,4.799513973
f`qac@IHpH@QBPXDYIITeDddeZ]zVjf`@@@@ !B?K^w?X`B?Xa??gvH_?ySYuLXGqh_Y[_}m?rw?K]},777,Z2734668359,1907006-Y10-03,I11,10,10,C9H8FNO3S2,O=S(CCSc1nc(cccc2)c2[o]1)(F)=O,261.2931,96.8,27521095,0,Achiral,None,"2-(1,3-benzoxazol-2-ylsulfanyl)ethane-1-sulfonyl fluoride","2,316","-3,49",0,3,"60,17",4,-11.9047619,-9.902794654
fhiac@CHpP@QBP|DYIIUDeeDeISoRt@EKQ@@@ !BShB?ScF?`CDlFLwP`CDlFBpX`CDlFFU`@OxXKAi`?`@,778,Z3919194205,1907006-Y10-03,J11,10,10,C10H8FNO3S2,Cc1nc(-c(cc2)ccc2OS(F)(=O)=O)c[s]1,273.3038,100,27521095,0,Achiral,None,"4-(2-methyl-1,3-thiazol-4-yl)phenyl sulfurofluoridate","1,507","-3,129",0,3,"56,26",3,11.328125,9.275882705
do}BPFULgPBHdLddjTTTlTyZjYj`@ !BYuLlYq`lTqb?LULX_?xZXEMgYVA`Ff\lJxQTa@,779,Z169852192,1907006-Y10-03,K11,10,10,C7H11FN2O4S,CC(C)(C(N1CCS(F)(=O)=O)=O)NC1=O,238.2366,100,27521095,0,Achiral,None,"2-(4,4-dimethyl-2,5-dioxoimidazolidin-1-yl)ethane-1-sulfonyl fluoride","0,078","-1,35",1,4,"83,55",3,-2.34375,0.059844405
fbuQQ@MQQ`eo@BHRFRRUQIYJZIZRhieh@JZZa@@ !BShB?ScF?`CDlFLwP`CDlFBpX`CDlFH@qtl|lF@C~YV@ZXA`l?`@,780,Z4262311129,1907006-Y10-03,L11,10,10,C11H9FN2O5S,Cc1n[o]c(C(Nc(cc2)ccc2OS(F)(=O)=O)=O)c1,300.263,100,27521095,0,Achiral,None,"4-(3-methyl-1,2-oxazole-5-amido)phenyl sulfurofluoridate","0,129","-2,995",1,4,"98,5",4,10.89367254,1.789019124
fleHQ@FZlyFCI@DPdLddjTTRbLRUiwiZjeZjZ@@ !BXFTZXA|ZYQ}TnvT_GvTlY{\B?g}SY?x@mwvw__y?mpK~_{]},781,Z166653164,1907006-Y10-03,M11,10,10,C9H11FN4O4S,CN(c1c(C(N2C)=O)[n](CCS(F)(=O)=O)cn1)C2=O,290.2714,97.11,27521095,0,Achiral,None,"2-(1,3-dimethyl-2,6-dioxo-2,3,6,7-tetrahydro-1H-purin-7-yl)ethane-1-sulfonyl fluoride","-0,239","-1,25",0,5,"92,58",3,-0.456621005,-0.185070944
dk\LPDs`BHdLddlTRTgUNVBBH`@ !B?`@@?g?~?g~H_[]}XAk~_?y?KF^w_VAe,782,Z2907425195,1907006-Y10-03,N11,10,10,C8H7FO3S,O=S(c1c2OCCc2ccc1)(F)=O,202.2028,91,27521095,0,Achiral,None,"2,3-dihydro-1-benzofuran-7-sulfonyl fluoride","2,714","-2,046",0,3,"43,37",1,11.6764514,16.22455275
fhiHa@F\EIF@ADICIIJeDlhdiJ|FVje`@`@@ !B?`@@?g?~?g~H__y?YuLXTqh_YQ|lY|wO`DxlYrqg`Dx,783,Z166653162,1907006-Y10-03,O11,10,10,C9H9FN4O2S,O=S(CC[n]1nnc(-c2ccccc2)n1)(F)=O,256.2568,98.65,27521095,0,Achiral,None,"2-(5-phenyl-2H-1,2,3,4-tetrazol-2-yl)ethane-1-sulfonyl fluoride","1,611","-2,35",0,5,"77,74",4,0.200803213,-3.361344538
fbmqa@CV\cA@ADICIIJhdlheLeISoIsKP@SUUC@@@ !BJ{n{UHPkUHQeXERDwzYeXFU`wzYeXBpXGqiSFOx@m?vw?K_|m?t,784,Z3489903893,1907006-Y10-03,P11,10,10,C12H12FN3O3S,O=S(Oc(cc1)ccc1-c1nnc2[n]1CCCC2)(F)=O,297.3054,100,27521095,0,Achiral,None,"4-{5H,6H,7H,8H-[1,2,4]triazolo[4,3-a]pyridin-3-yl}phenyl sulfurofluoridate","0,284","-3,214",0,4,"74,08",3,3.949129853,7.170868347
dk^DpFS@BHdJBLddlRRRx]NVfji`@ !B@O{~_?x@_?ySYuLXGqh_Y[_}m?rw?K]},785,Z3016341899,1907006-Y10-03,A12,10,10,C7H8FNO2S2,O=S(c1nc(CCCC2)c2[s]1)(F)=O,221.2723,97.68,27521095,0,Achiral,None,"4,5,6,7-tetrahydro-1,3-benzothiazole-2-sulfonyl fluoride","2,506","-2,671",0,3,"47,03",1,-7.506361323,0.108108108
fbu`Q@GHpSH@bDaddeTTTURbRTYNYZ@bJjh`@@ !B_[^H?PJHmpJw?[\B?g~w?_x@m?vH?_y?m?w~_{]}bGw~_?y?bOt,786,Z3950503881,1907006-Y10-03,B12,10,10,C13H18FNO4S,Cc1cc(CN2CCOCC2)cc(C)c1OS(F)(=O)=O,303.3497,100,27521095,0,Achiral,None,"2,6-dimethyl-4-[(morpholin-4-yl)methyl]phenyl sulfurofluoridate","1,311","-2,458",0,4,"55,84",4,-0.636132316,-4.432432432
dkmBPJyLWPBHdLddlRfazYZZfd@@ !BFa}`FfU`GvUeGv\l_?{~@F]Sb@Jw@ox@,787,Z2907459647,1907006-Y10-03,C12,10,10,C5H5FN2O4S,COC(c(cn[nH]1)c1S(F)(=O)=O)=O,208.1676,100,27521095,0,Achiral,None,methyl 5-(fluorosulfonyl)-1H-pyrazole-4-carboxylate,"0,384","-1,356",1,4,"89,12",3,-1.314924392,-5.467800729
ffcPQ@AVQ`a`ADICIIJhdeihiDcITTyKKP@SUUTUCM@@ !B?g|@?ox@_?y}mpJw_?y}mwvw_?y??gvH_[\Bmw?~_[^H_X`B?[]??g?~,788,Z4262580590,1907006-Y10-03,D12,10,10,C14H17FN2O4S,CC(CCC12CC1)CN2C(c1cc(OS(F)(=O)=O)cnc1)=O,328.3592,100,27521095,0,Racemic or presumed racemic or meso,None,5-{6-methyl-4-azaspiro[2.5]octane-4-carbonyl}pyridin-3-yl sulfurofluoridate,"-0,044","-3,185",0,4,"76,57",3,7.495069034,4.617253949
fbuAQ@DXTgH@bDaddebRrTRVTEKpYX@J@BX@@@ !B?[^H_PJHm?rw?_x@m?rw@ox@mpK~@K_|bOs~@Ox@b@K~@K\Bb@H,789,Z7376085685,1907006-Y10-03,E12,10,10,C13H9FO5S,OC(c(cc1)ccc1Oc(cc1)ccc1S(F)(=O)=O)=O,296.271,100,27521095,0,Achiral,None,4-[4-(fluorosulfonyl)phenoxy]benzoic acid,"4,146","-3,934",1,4,"80,67",4,5.862977602,20.29169309
ff}qQ@AVJcACY@DPdLddjbRVfbbTteEkKP@SUTtTGT@@ !B_?{~_pC~?`Bw@k]}?`Bw@k\B?`C~@H`BmpHWxvx@GuhvosnTjsnudK}I,790,Z4262565759,1907006-Y10-03,F12,10,10,C12H14FN3O5S,CC(C(NCCC1)=O)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,331.3201,98.54,27521095,0,Racemic or presumed racemic or meso,None,"5-(2-methyl-3-oxo-1,4-diazepane-1-carbonyl)pyridin-3-yl sulfurofluoridate","-1,845","-1,961",1,5,"105,67",3,2.173913043,-6.214331008
dg~DPIS@BHdLddlRTrPj]rpAEQ@@ !BbOw}m?rHm?rw?_x@m?rw?K_}?`Bw?K_|?`@,791,Z2791080369,1907006-Y10-03,G12,10,10,C9H10FNO2S,O=S(c1cc(NCCC2)c2cc1)(F)=O,215.2446,100,27521095,0,Achiral,None,"1,2,3,4-tetrahydroquinoline-7-sulfonyl fluoride","3,115","-1,908",1,3,"46,17",1,4.697554698,3.462940462
fhq`Q@EHpRp@bDaddeTRTvfdmRt@QMP@@ !B_?{~_pC~?`Bw@ox@mwvw@k\B?`Bw_[\Bmww~@K_|bOp,792,Z3919175524,1907006-Y10-03,H12,10,10,C10H12FNO4S,CC(C)C(Nc1cccc(OS(F)(=O)=O)c1)=O,261.27,93.56,27521095,0,Achiral,None,3-(2-methylpropanamido)phenyl sulfurofluoridate,"0,423","-3,113",1,3,"72,47",4,10.61776062,-2.369380316
f`qA``DXH@HaHNdORFRRUQIYQRRcVeh@JjJFj@@ !B_?{~_pC~?`Bw@k]}?`Bw@k\B?`Bw@ovH_?xGmGbt,793,Z3919184893,1907006-Y10-03,I12,10,10,C9H7F3O3S,O=S(Oc1ccc(C(C2)C2(F)F)cc1)(F)=O,252.2103,100,27521095,0,Racemic or presumed racemic or meso,None,"4-(2,2-difluorocyclopropyl)phenyl sulfurofluoridate","0,895","-3,432",0,2,"43,37",3,-7.528957529,-3.705953827
fbeQS@AVQ`ao@BHRC`cIIJhdeieIiITm@ALmTP\P@ !B_?{~_pC~?`Bw@k]}?`Bw@k\B?`C~@H`BmpJw_PJwm?w}bK\B?g|,794,Z4262482498,1907006-Y10-03,J12,10,10,C10H13FN2O5S2,CC(C)S(C)(=NC(c1cc(OS(F)(=O)=O)cnc1)=O)=O,324.349,96.14,27521095,0,Racemic or presumed racemic or meso,None,5-{[methyl(oxo)(propan-2-yl)-lambda6-sulfanylidene]carbamoyl}pyridin-3-yl sulfurofluoridate,"-1,514","-3,156",0,6,"102,76",4,1.171875,3.171753441
dg]BpFELWPBHdJBLddlRVfWCKSTuH@@ !BYuLlYq`lTq`ZXG?~YrqeXOx@b@Jw@ox@mpH,795,Z3446322615,1907006-Y10-03,K12,10,10,C5H5FN2O4S2,CCOC(c([s]1)nnc1S(F)(=O)=O)=O,240.2326,100,27521095,0,Achiral,None,"ethyl 5-(fluorosulfonyl)-1,3,4-thiadiazole-2-carboxylate","0,341","-2,084",0,5,"86,22",4,1.5625,3.052064632
fjmPS@AVQ`a`ADICHQddeTRRttTRteYKKP@SUUQP]P@ !B_?{~_pC~?`Bw@k_}?`Bw@k\B?`C~@H`BmpIn@A_cNyRPba}Zotfud@,796,Z4262505082,1907006-Y10-03,L12,10,10,C12H15FN2O4S2,CC(CSCCC1)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,334.3869,100,27521095,0,Racemic or presumed racemic or meso,None,"5-(3-methyl-1,4-thiazepane-4-carbonyl)pyridin-3-yl sulfurofluoridate","-0,62","-2,911",0,4,"76,57",3,-6.327462492,3.639728563
dcMDPJuL@HbPrRRqIYCLl@E`@@ !B?`@@?g?~?g~H_[]}?g?~_{]}?g?~_p,797,Z1217412263,1907006-Y10-03,M12,10,10,C6H3FN2O2S,N#Cc(cc1)cnc1S(F)(=O)=O,186.1636,95,27521095,0,Achiral,None,5-cyanopyridine-2-sulfonyl fluoride,"0,622","-1,517",0,4,"70,82",1,3.587736464,-1.048735349
flyPQ@M^Q`c`ADICIIJhdlhhUIJeh@Jfj@@@ !B@hbw?GvwbGvH@ox@bGvH?H`BbOvH?Hc}?`C~_xc|bOvH?Oy?,798,Z3919176045,1907006-Y10-03,N12,10,10,C11H15FN2O4S,CC(C)NC(N(C)c(cc1)ccc1OS(F)(=O)=O)=O,290.3112,100,27521095,0,Achiral,None,4-{methyl[(propan-2-yl)carbamoyl]amino}phenyl sulfurofluoridate,"0,109","-3,019",1,3,"75,71",4,2.413568167,2.159161012
dg^DhJS@BHdMdCdKdLddlRbt`kK@DU@@@ !B@k^H@ig@mww~_{\Bmwvw__x@mpK~@@C~_?x,799,Z1648182398,1907006-Y10-03,O12,10,10,C6H3F4NO2S,O=S(c1ncccc1C(F)(F)F)(F)=O,229.1521,98.3,27521095,0,Achiral,None,3-(trifluoromethyl)pyridine-2-sulfonyl fluoride,"1,555","-2,348",0,3,"47,03",2,-5.689424364,0.112044818
ff}HQ@AVBeFBF@DPdLddjbRVfbfRteYKKP@ST@D@@@ !B@O{~_w?~?`Bw@k]}?`Bw@k\B?`C~@K\Bb@K~@Ha}mpJH@ox@?`BH@ox@,800,Z4262418875,1907006-Y10-03,P12,10,10,C12H11FN4O4S,Cc(cc1)nnc1N(C)C(c1cc(OS(F)(=O)=O)cnc1)=O,326.3035,100,27521095,0,Achiral,None,5-[methyl(6-methylpyridazin-3-yl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-2,526","-2,545",0,6,"102,35",4,1.539491299,8.515406162
fj}QQ@CVQ`ch`BHRFRRUQISSKJIRt{vRrt@PtuTU@I@@ !B?`@@?g?~?g~w__y?mpJw_[]}?g~w@f]SFELZGvT_KF\@?fT_Fa|XTp,801,Z3489904008,1907006-Y10-03,A13,10,10,C12H11FN2O5S,O=S(Oc1cc(-c2n[o]c(C3OCCC3)n2)ccc1)(F)=O,314.2895,93.66,27521095,0,Racemic or presumed racemic or meso,None,"3-[5-(oxolan-2-yl)-1,2,4-oxadiazol-3-yl]phenyl sulfurofluoridate","-0,042","-3,296",0,5,"91,52",4,13.48600509,15.89189189
fhiac@KHpP@QBPLDYIIUDeMLmKSoRt@QMP`@@ !BYuLlYq`lTqb?LULXs\~?L[|qTqcMsw?~FfAeXF\l?`@,802,Z3919176361,1907006-Y10-03,B13,10,10,C10H8FNO3S2,Cc1c[s]c(-c2cccc(OS(F)(=O)=O)c2)n1,273.3038,100,27521095,0,Achiral,None,"3-(4-methyl-1,3-thiazol-2-yl)phenyl sulfurofluoridate","1,507","-3,567",0,3,"56,26",3,13.61323155,12.75675676
ff}pQ@AVJcAC@BHRFRRUQIKSQQQVRdeeh@IjjjICez@@ !B_[^H?_rHm?rw?_y?m?rw?[_}m?rw?Ox@m?vw?Oy?m?w~@K_}bOw~_{_},803,Z4262507058,1907006-Y10-03,C13,10,10,C13H18FN3O4S,C[C@H](CN(C)C[C@@H]1C)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,331.3631,96.4,27521095,0,Achiral,Meso,"5-[(2R,6S)-2,4,6-trimethylpiperazine-1-carbonyl]pyridin-3-yl sulfurofluoridate","-0,425","-1,604",0,5,"79,81",3,9.993425378,0.364520049
fdy`Q@CHpRH@bDaddeTRVRbRdhLYZ@BjjH@@ !Bb@HBm?vHmww~_{_}bOw~_?y?bOw~_xa}?g~H@hc}bGvH?@,804,Z3919185180,1907006-Y10-03,D13,10,10,C11H14FNO4S,O=S(Oc1ccc(CN2CCOCC2)cc1)(F)=O,275.2966,100,27521095,0,Achiral,None,4-[(morpholin-4-yl)methyl]phenyl sulfurofluoridate,"0,313","-1,911",0,4,"55,84",4,3.418803419,11.66464156
fjmQQ@AVQ`ab`BHRFRRUQIKSQIQRTdlm@AMUUE@I@@ !B_?{~_pC~?`Bw@k_}?`Bw@k\B?`C~@H`BmpIn@A_cNyP_Vk}IVfBud@,805,Z4262482532,1907006-Y10-03,E13,10,10,C12H15FN2O5S,CC(C1)COCCN1C(c1cc(OS(F)(=O)=O)cnc1)=O,318.3213,91,27521095,0,Racemic or presumed racemic or meso,None,"5-(6-methyl-1,4-oxazepane-4-carbonyl)pyridin-3-yl sulfurofluoridate","-1,513","-2,368",0,5,"85,8",3,6.258234519,3.297400127
ffcQQ@AVQ`ab`BHRFRRUQIKSQRIJRdurVV`@fjjhh@@ !B@O{~_?x@_?{}b@JH_?{}bGvH_?y??ovH?[_|mw?~?[^dfzRd_[]??jRd,806,Z4262537783,1907006-Y10-03,F13,10,10,C13H15FN2O5S,O=C(c1cc(OS(F)(=O)=O)cnc1)N1C2(CCC2)COCC1,330.332,100,27521095,0,Achiral,None,5-{8-oxa-5-azaspiro[3.5]nonane-5-carbonyl}pyridin-3-yl sulfurofluoridate,"-1,032","-2,591",0,5,"85,8",3,8.102766798,7.863031072
ffcQQ@AVQ`aj`BHRFRRUQIKSQQJJRdurVV`@fjjhjCj@@ !Bm?pBbGvwbGw~_xa}mww~_?y?m?vw?_y?mpJw?_x@?g~w@k\B_[_|m?x@,807,Z4262401504,1907006-Y10-03,G13,10,10,C13H15FN2O5S,O=C(c1cc(OS(F)(=O)=O)cnc1)N(CCOC1)C1C1CC1,330.332,98.52,27521095,0,Racemic or presumed racemic or meso,None,5-(3-cyclopropylmorpholine-4-carbonyl)pyridin-3-yl sulfurofluoridate,"-1,032","-2,643",0,5,"85,8",4,9.974259974,10.14580802
ff}PQ@AVQ`a`ADICIIJhdeieHhiIW`rt@DuUUD@@ !BKg|@KeD@_uFmSvsg_uFmSzuO_uE?TQOhkT}?T_vH_?zRSp^t^KQoJjd?,808,Z4262505001,1907006-Y10-03,H13,10,10,C14H19FN2O4S,CC(C)(C1(C)C)C1(C)NC(c1cc(OS(F)(=O)=O)cnc1)=O,330.3751,100,27521095,0,Achiral,None,"5-[(1,2,2,3,3-pentamethylcyclopropyl)carbamoyl]pyridin-3-yl sulfurofluoridate","2,001","-2,792",1,4,"85,36",4,10.36036036,6.136087485
ff}qQ@AVrcACI@DPdLddjbRVfbfbteYKKP@SUSTTGT@@ !B@O{~@G?~?g~H_X`B?g~H_Xa}?g?~_{_}bOw~_x`BFEMgTv@ZYQ|ZGrqg,809,Z4262535866,1907006-Y10-03,I13,10,10,C12H14FN3O5S,CN(C(CCN1C)C1=O)C(c1cc(OS(F)(=O)=O)cnc1)=O,331.3201,98.49,27521095,0,Racemic or presumed racemic or meso,None,5-[methyl(1-methyl-2-oxopyrrolidin-3-yl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-1,972","-2,033",0,5,"96,88",4,7.142857143,-4.070473876
fbuQQ@AZQ`eo@BHRFRRUQIKJZIJRdyeh@JZjb`x`@ !BmpHBbOvwbOw~_{_}bOw~_?y?bGvH__y?m?vH?Xc|?g~H?Xa}?g|,810,Z4385628746,1907006-Y10-03,J13,10,10,C11H13FN2O5S,O=C(C1OCCCC1)Nc1cc(OS(F)(=O)=O)cnc1,304.2947,100,27521095,0,Racemic or presumed racemic or meso,None,5-(oxane-2-amido)pyridin-3-yl sulfurofluoridate,"-0,409","-2,089",1,5,"94,59",4,8.333333333,0.179533214
fjmQS@AVQ`al`BHRAYCIIJhdeihhdiJSfV`@fjjb`z`@ !B_[^H?_rHm?rw?_y?m?rw?[_}m?rw?Ox@m?vw?Oy?m?w~@K_}?g~w?@,811,Z4262489670,1907006-Y10-03,K13,10,10,C11H12F2N2O5S,O=C(c1cc(OS(F)(=O)=O)cnc1)N1C(CF)COCC1,322.2852,92.75,27521095,0,Racemic or presumed racemic or meso,None,5-[3-(fluoromethyl)morpholine-4-carbonyl]pyridin-3-yl sulfurofluoridate,"-1,513","-2,224",0,5,"85,8",4,0.390625,7.001795332
fbuPQ@AVQ`a`ADICIIJhdeihiEIP\rt@DuUP`@@ !BJ{nDJuRDnuP_YYg_nuP_YQ}enuR{UJ[@GvUgKFT_YuLkaERD_?x,812,Z4262487909,1907006-Y10-03,L13,10,10,C12H13FN2O4S,CC(C)(C=CC1)N1C(c1cc(OS(F)(=O)=O)cnc1)=O,300.306,91.3,27521095,0,Achiral,None,"5-(2,2-dimethyl-2,5-dihydro-1H-pyrrole-1-carbonyl)pyridin-3-yl sulfurofluoridate","-0,682","-2,891",0,4,"76,57",3,1.108936725,1.295496607
fncpq@AVRcACQZ@HaHYIIUDdmLhhmMIVRrt@DuSUIP]P@ !B_[^H__rHmpJw__y?mpJw?[]}m?rw@ox@mwvw@ox@mwvH?K_|mpJw?_x@m?p,813,Z4262543324,1907006-Y10-03,M13,10,10,C12H12FN3O6S,CN(C(CCC1NC(c2cc(OS(F)(=O)=O)cnc2)=O)=O)C1=O,345.3036,98.91,27521095,0,Racemic or presumed racemic or meso,None,"5-[(1-methyl-2,6-dioxopiperidin-3-yl)carbamoyl]pyridin-3-yl sulfurofluoridate","-1,462","-2,158",1,6,"122,74",4,14.54664057,14.49722394
flePQ@AVQ`a`ADICIIJhdeieDiJbfV`@fjXhNh@@ !B?`@@?g?~?g~w_[\B?g~w_[]}?g?~_xa}mww~_qaSYuMeGqh_,814,Z4262479456,1907006-Y10-03,N13,10,10,C11H11FN2O4S,O=C(c1cc(OS(F)(=O)=O)cnc1)NC1C=CCC1,286.2794,97.06,27521095,0,Racemic or presumed racemic or meso,None,5-[(cyclopent-2-en-1-yl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-0,28","-2,566",1,4,"85,36",4,8.806262231,8.94509562
ff}PS@AVQ`a`ADIALaddeTRRttTtVdhmYZ@BZ``@@@ !B@O{~_w?~?`Bw@k]}?`Bw@k\B?`C~@K\Bb@K~@Ha}mpJH@k]}?`C~@H`B,815,Z4262397167,1907006-Y10-03,O13,10,10,C13H10F2N2O4S,CN(C(c1cc(OS(F)(=O)=O)cnc1)=O)c(cccc1)c1F,328.2913,92.41,27521095,0,Achiral,None,5-[(2-fluorophenyl)(methyl)carbamoyl]pyridin-3-yl sulfurofluoridate,"-0,328","-3,405",0,4,"76,57",4,9.571619813,11.98879552
fbu`Q@@hpQH@bDaddeTRVTRVTdkpYZ@BjjX`@@ !B?Xbw_PJwb@K~@K_|bOs~@Ox@b@K~@K_|bOs~@Ox@b@K~@K\Bb@H,816,Z3919181872,1907006-Y10-03,P13,10,10,C13H16FNO4S,CC(N(CC1)CCC1c(cc1)ccc1OS(F)(=O)=O)=O,301.3338,100,27521095,0,Achiral,None,4-(1-acetylpiperidin-4-yl)phenyl sulfurofluoridate,"-0,187","-2,781",0,3,"63,68",3,14.65863454,12.54901961
do~BINW[\LPiBP`yCiwdfYy[ia``bZT@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}mpJH@ovHmwtBmp,817,Z4611171655,1907006-Y10-03,A14,10,10,C6H2BrF2NO4S,[O-][N+](c1cc(S(F)(=O)=O)cc(Br)c1F)=O,302.0502,99.58,27521095,0,Achiral,None,3-bromo-4-fluoro-5-nitrobenzene-1-sulfonyl fluoride,"2,754","-3,944",0,4,"77,28",2,33.96946565,32.64864865
fdy`Q@HhpSP@bDaddeTRVRbRdhLYZ@B`@@@@ !Bb@HBm?vHmww~_{_}bOw~_?y?bOw~_xa}?g~H@hc}bGvH?@,818,Z3919180481,1907006-Y10-03,B14,10,10,C11H8FNO4S,O=S(Oc(cc1)ccc1Oc1ccncc1)(F)=O,269.2489,100,27521095,0,Achiral,None,4-(pyridin-4-yloxy)phenyl sulfurofluoridate,"1,167","-2,971",0,3,"65,49",4,15.13994911,6.378378378
dknBPISML@bICIIKDeCAfV@BX@@ !B?Xbw_PJwb@K~@Ha}b@JH@ha}?`Bw@h`B,819,Z3072396696,1907006-Y10-03,C14,10,10,C6H4FNO4S,OC(c1nccc(S(F)(=O)=O)c1)=O,205.1637,100,27521095,0,Achiral,None,4-(fluorosulfonyl)pyridine-2-carboxylic acid,"1,25","-1,021",1,5,"84,33",2,1.051939513,-3.523693803
fjmPQ@AVQ`a`ADICIIJhdeihheiJSfV`@fjjbPzaM@@ !B_?{~_pC~?`Bw?K_}?`Bw?K\B?`C~@H`BmpJw?_x@mpK~_{\B?`C~@@,820,Z4262408739,1907006-Y10-03,D14,10,10,C13H17FN2O4S,C[C@@H](CC[C@@H]1C)CN1C(c1cc(OS(F)(=O)=O)cnc1)=O,316.3485,100,27521095,0,Racemic diastereomer with known relative stereochemistry,Trans,"rac-5-[(2R,5R)-2,5-dimethylpiperidine-1-carbonyl]pyridin-3-yl sulfurofluoridate","0,161","-2,942",0,4,"76,57",3,3.024326101,3.037667072
foA@c@KNAbJBCRBSLl{tsdmP@@QJ@@@ !B?g~w_Xa}?g~w@oy?bOvw?[]}?g~w@oy?_?x@?`,821,Z3016190087,1907006-Y10-03,E14,10,10,C10H6BrFO2S,O=S(c(c1ccccc11)ccc1Br)(F)=O,289.1208,100,27521095,0,Achiral,None,4-bromonaphthalene-1-sulfonyl fluoride,"4,342","-4,822",0,2,"34,14",1,12.97760211,17.37476221
fbuaS@GHpPu`ADICPQddeTRVTabRdiNYZ@BVjh`@@ !Bb@HBmwvHmww~_{]}bGw~_?y?bOw~_pC~_?{~_{]}bGw~_?y?bGt,822,Z3919175332,1907006-Y10-03,F14,10,10,C11H14FNO5S2,O=S(c(cc1)ccc1OS(F)(=O)=O)(N1CCCCC1)=O,323.361,100,27521095,0,Achiral,None,4-(piperidine-1-sulfonyl)phenyl sulfurofluoridate,"0,954","-3,077",0,4,"80,75",3,8.102766798,-13.57006975
dg\LpDsPBHdI|LddlRTt`kK@DM@@@ !B?[^H_PJHmpK~@K]}mpJw@ox@mwt@?ox@_?x,823,Z3399885931,1907006-Y10-03,G14,10,10,C8H10FO3PS,CP(C)(c1cccc(S(F)(=O)=O)c1)=O,236.2004,100,27521095,0,Achiral,None,3-(dimethylphosphoryl)benzene-1-sulfonyl fluoride,"-0,325","-0,56",0,3,"51,21",2,6.113256113,0.060753341
ff}`Q@MHpQp@bDaddeTRVTTLRVdkIYZ@Bi`@`@@ !B@k^H?GvHmww~_xa}mww~_?y?mww~_{_}bOvw@oy?m?vH?_y??g~H__y?,824,Z3919174788,1907006-Y10-03,H14,10,10,C15H14FNO4S,Cc(cc1)ccc1C(N(C)c(cc1)ccc1OS(F)(=O)=O)=O,323.3394,100,27521095,0,Achiral,None,4-(N-methyl-4-methylbenzamido)phenyl sulfurofluoridate,"1,299","-4,808",0,3,"63,68",4,11.003861,-7.229647631
foAPc@F\Q`@QBPhDYIIXeeDepUgRtu@@`@@ !B?`@@?g?~?g|XTv]SYQ|ZGuMgot{RsuMgTv_Rsp,825,Z2739883394,1907006-Y10-03,I14,10,10,C8H5FN2O2S2,O=S(c1nc(-c2ccccc2)n[s]1)(F)=O,244.2659,100,27521095,0,Achiral,None,"3-phenyl-1,2,4-thiadiazole-5-sulfonyl fluoride","2,205","-4,166",0,4,"59,92",2,7.271557272,-1.640340219
ffc`Q@KHpRh@bDaddeTTRbrTVVUkrRuehB@`hjB@@ !Bb@HBm?vHm?vw@k_}?`Bw@oy?mpK~@K_}bOvw@k\B?g~H?K]}bGvH?X`B,826,Z3919174855,1907006-Y10-03,J14,10,10,C15H16FNO4S,O=S(Oc1c(CN2CCOCC2)c2ccccc2cc1)(F)=O,325.3552,95.72,27521095,0,Achiral,None,1-[(morpholin-4-yl)methyl]naphthalen-2-yl sulfurofluoridate,"1,487","-3,73",0,4,"55,84",4,-1.953125,-2.333931777
fbuPQ@FJQbV`ADICIIJeEEKDddhr\ruTsUUU@@@ !BFEMSYrpXYrsOsV\l?`@_YQ`lGqieGuLXCU@MKr}rKptoCR}rCR|,827,Z3488531230,1907006-Y10-03,K14,10,10,C12H19FN2O4S,O=C(C1(CCCCCCC1)N1)N(CCS(F)(=O)=O)C1=O,306.3537,97.95,27521095,0,Achiral,None,"2-{2,4-dioxo-1,3-diazaspiro[4.7]dodecan-3-yl}ethane-1-sulfonyl fluoride","2,149","-3,429",1,4,"83,55",3,1.432291667,6.642728905
fjm`S@KHpPp@bD`VPrRRjIJZEQIZVdyeh@ah@H@@@ !B_?{~_pC~?`Bw@ox@mwvw@k\B?`Bw_Xc|m?s~@K\Bb@K~@Ox@b@K~@@,828,Z3919175883,1907006-Y10-03,L14,10,10,C13H9F2NO4S,O=C(c1cccc(OS(F)(=O)=O)c1)Nc(cc1)ccc1F,313.2767,100,27521095,0,Achiral,None,3-[(4-fluorophenyl)carbamoyl]phenyl sulfurofluoridate,"1,475","-4,483",1,3,"72,47",4,13.63339856,4.996915484
